Questions;Chunk-1;Chunk-1 - extra
Что такое банкомат Тинькоффа;2;
Что такое ПИН-код;8;
Какие валюты ПС являются рассчетными;65;
Что делать если украли карту?;222;
На что клиент имеет право заблокировать карту;71;
В каких случая банк может расторгнуть договор;95;
Что такое регулярный платёж?;97;
Временная франшиза это;124;
Длительность временной франшизы, устанавливаемой в случае риска Потеря работы;135;
Кто такие застрахованные лица;123;
В каких случаях страховщик имеет право отказать в страовой выплате;182;
"В течение какого срока клиент обязан письменно информировать Банк обо всех изменениях, относящихся
к сведениям, сообщенным Клиентом о выгодоприобретателях и бенефициарных владельцах";23;
Какие требования предьявляюnся к заёмщику потребительского кредита;185;
В течение какого срока рассматривается заявление на кредит;185;
На какую сумму можно взять кредит;186;
В какой валюте дают кредит;186;
Какие виды потребительского кредита есть;186;185
Какой процент у кредитов;187;
В течение какого срока можно отказаться от кредита;188;
Что будет если не выплатить кредит;188;
Как погасить кредит;188;
Как часто нужно платить за кредит;187;
Сколько стоит пополнение в банкоматах Тинькофф;190;
Какой кэшбек за покупки на выбранные категории;190;
Сколько стоит пополнение в в других банкоматах при использовании карты МИР;190;
Сколько стоит смс-ки об оповещениях об операциях;190;
Сколько стоит выпуск карты;191;
Сколько стоит снятие наличных;190;
Сколько стоит квази-кэш;190;
Сколько стоит пополнение через СБП;190;
Сколько стоит перевод через приложение Тинькофф на Тинькофф;190;
Сколько стоит перевод через приложение Тинькофф Банк в другой банк;190;
Что такое абонентский договор;192;
Что такое виртуальная карта;193;
Как пополнить виртуальную карту;198;
Что такое статуст неактивной виртуальной карты;195;
Каким образом банк оповещает о совершении операций с Виртуальной картой?;204;
Как запросить информацию о виртуальной карте;198;
В какой валюте отражаются операции, соверешнные с помощью виртуальной карты;201;
Что такое распоряжение по виртуальной карте?;195;
Сколько можно переводить по виртуальной карте за раз;202;
Сколько можно переводить по виртуальной карте в течение месяца;202;
Штраф при совершении операций, нарушающих условия договра использования Виртуальной карты;207;
Зачем нужен ПИН-код?;220;
Можно ли сообщать ПИН-код другим людям?;220;
Что делать если забыл свой ПИН-код;221;
Можно бесконтактно оплатить картой не вводя ПИН-код;221;
Как сохранить карту подольше;222;
Что делать если мне банкомат не хочет возвращать карту;223;
Почему мне пришла смска об операции по карте которую я не делал;223;
Что будет если ввёл неправильно ПИН-код;227;
Как быстро нужно вытащить карту из банкомата;228;227
Какие страны являются странами повышеного риска для карт оплаты;218;
Кто такой помощник Олег;235;
Как подключить Олега;237;
Как отключить Олега;238;
Сколько стоит услуга помощника Олега;238;
Сколько хранятся записанные Олегом записи звоноков и стенограммы;239;
На сколько звонков может ответить Олег за месяц;239;
На какой территории сервис помощник Олег может работать;238;
